courseNumber,departmentId,name,description,credits,gradingSchemeId,passingRequirement,isActive
230,EECE,"Selected Topics in Biomedical Engineering","Description of Selected Topics in Biomedical Engineering",3,101,Pass,1
251,EECE,"Circuit Analysis I","Description of Circuit Analysis I",3,101,Pass,1
253,EECE,"Circuit Analysis II","Description of Circuit Analysis II",6,101,Pass,1
259,EECE,"Introduction to Microcomputers","Description of Introduction to Microcomputers",3,101,Pass,1
500,CICS,"Software Systems Internship","Mandatory Software Systems 4 months Internship",0,101,Pass,1
505,CICS,"Introduction to Software Systems","Introductory overview: programming (data structures and low-level design); programming in the large (introduction to operating systems, concurrency); introduction to software engineering (system design and analysis, documentation).",6,102,"68 percent",1
511,CICS,"Computational Structures","This course covers the main theoretical foundations of computer science and design and analysis of algorithms with applications in many areas of computer science and engineering. These topics include lgoic, sets, functions, algorithms and their complexity, graph theory, trees, and models of computation.",2,102,"68 percent",1
514,CICS,"Computer Networks and Cloud Computing","Concept, design and implementation of computer communication protocols and networks. Fundamentals of computer networking, internet protocols and technologies, and cloud computing. ",2,102,"68 percent",1
516,CICS,"Web Technologies","Computer network protocols, web application developement technologies and software engineering.",3,102,"68 percent",1
518,CICS,"Computer and Information System Security","Technical, operational, and managerial issues of computer system security, computer security threats, techniques for detecting and preventing security violations, instituting safeguards, and applying appropriate level of security for the preceived risk.",2,102,"68 percent",1
520,CICS,"Database Systems","Relational database design, table design, formal and commercial relational database languages, storage structures, query optimization, data mining, and other applications.",3,102,"68 percent",1
525,CICS,"Real-time and Distributed Systems","Analysis, analysis design, and programming.",2,102,"68 percent",1
530,CICS,"Advanced Software Engineering Project","Design implementation and test of a large software system in an operational environment with emphasis on a team approach.",3,101,Pass,1
530,FEBC,"FEBC Level 1","Description of FEBC Level 1",3,102,"68 percent",1
530,MATH,"MATH Level 4","Description of MATH Level 4",3,102,"68 percent",1
530,RADI,"RADI Level 1","Description of RADI Level 1",3,101,Pass,1
530,WRIT,"WRIT Level 2","Description of WRIT Level 2",3,101,Pass,1
532,FEBC,"FEBC Level 2","Description of FEBC Level 2",3,101,Pass,1
532,MATH,"MATH Level 5","Description of MATH Level 5",3,101,Pass,1
